Date,Price,Prediction,Confidence,Risk,Actual,Outcome,Signals
2020-01-01,28189.75,NEUTRAL,50.0,54.17789757412399,-16.27,BEARISH,14
2020-01-31,26312.63,NEUTRAL,50.0,45.28061224489796,-6.34,NEUTRAL_BEARS,14
2020-03-01,26129.93,NEUTRAL,50.0,46.330275229357795,-12.13,BEARISH,13
2020-03-31,23603.48,NEUTRAL,50.0,59.016393442622956,2.96,NEUTRAL,14
2020-04-30,24643.59,BEARISH,65.1,67.53246753246754,0.97,NEUTRAL,14
2020-05-30,22961.47,NEUTRAL,50.0,58.803827751196174,10.72,BULLISH,16
2020-06-29,24301.28,NEUTRAL,50.0,44.23897581792319,-4.39,NEUTRAL,13
2020-07-29,24883.14,BULLISH,50.1,39.9702823179792,-0.39,NEUTRAL,13
2020-08-28,25422.06,NEUTRAL,50.0,40.389972144846794,5.50,NEUTRAL_BULLS,14
2020-09-27,23235.42,NEUTRAL,50.0,49.577836411609496,13.56,BULLISH,14
2020-10-27,24787.19,BULLISH,58.1,35.92814371257485,21.67,BULLISH,13
2020-11-26,26819.45,BULLISH,57.2,36.41456582633053,10.81,BULLISH,14
2020-12-26,26386.56,NEUTRAL,50.0,44.73684210526316,7.39,NEUTRAL_BULLS,13
2021-01-25,30159.01,NEUTRAL,50.0,43.29479768786127,-3.58,NEUTRAL,16
2021-02-24,29718.24,BULLISH,60.8,34.589041095890416,-2.72,NEUTRAL,17
2021-03-26,28336.43,BULLISH,50.7,39.66836734693877,1.93,NEUTRAL,14
2021-04-25,29078.75,BEARISH,50.0,60.0,-6.04,NEUTRAL_BEARS,12
2021-05-25,28910.86,NEUTRAL,50.0,41.92307692307693,-13.15,BEARISH,12
2021-06-24,28882.46,NEUTRAL,50.0,45.45454545454545,-16.14,BEARISH,11
2021-07-24,27321.98,NEUTRAL,50.0,46.717557251908396,-4.37,NEUTRAL,13
2021-08-23,25109.59,NEUTRAL,50.0,50.884353741496604,-0.24,NEUTRAL,14
2021-09-22,24221.54,NEUTRAL,50.0,47.481259370314845,-5.16,NEUTRAL_BEARS,13
2021-10-22,26126.93,NEUTRAL,50.0,45.18950437317784,-4.50,NEUTRAL,13
2021-11-21,25049.97,NEUTRAL,50.0,55.248868778280546,-2.88,NEUTRAL,13
2021-12-21,22971.33,NEUTRAL,50.0,48.14955640050697,-7.62,NEUTRAL_BEARS,15
2022-01-20,24952.35,NEUTRAL,50.0,58.98123324396783,-16.06,BEARISH,14
2022-02-19,24327.71,NEUTRAL,50.0,52.13946117274168,-14.84,BEARISH,12
2022-03-21,21221.34,NEUTRAL,50.0,52.046783625730995,-0.69,NEUTRAL,13
2022-04-20,20944.67,BEARISH,51.5,60.757780784844385,-1.35,NEUTRAL,14
2022-05-20,20717.24,NEUTRAL,50.0,53.70650529500756,-4.60,NEUTRAL,13
2022-06-19,21075.00,NEUTRAL,50.0,43.55400696864111,-10.98,BEARISH,11
2022-07-19,20661.06,NEUTRAL,50.0,47.65060240963855,-19.59,BEARISH,13
2022-08-18,19763.91,NEUTRAL,50.0,53.988269794721404,-7.63,NEUTRAL_BEARS,13
2022-09-17,18761.69,NEUTRAL,50.0,46.31961259079903,3.67,NEUTRAL,15
2022-10-17,16612.90,NEUTRAL,50.0,55.45454545454545,30.85,BULLISH,15
2022-11-16,18256.48,NEUTRAL,50.0,55.35714285714286,15.65,BULLISH,11
2022-12-16,19450.67,NEUTRAL,50.0,46.42857142857143,-1.27,NEUTRAL,11
2023-01-15,21738.66,NEUTRAL,50.0,55.04252733900365,-5.98,NEUTRAL_BEARS,15
2023-02-14,21113.76,NEUTRAL,50.0,43.688362919132146,-5.41,NEUTRAL_BEARS,19
2023-03-16,19203.91,NEUTRAL,50.0,40.53333333333333,1.06,NEUTRAL,14
2023-04-15,20438.81,BULLISH,54.6,37.69889840881273,-5.02,NEUTRAL_BEARS,16
2023-05-15,19971.13,NEUTRAL,50.0,49.840255591054316,-4.49,NEUTRAL,12
2023-06-14,19408.42,BULLISH,50.0,40.0,-7.12,NEUTRAL_BEARS,10
2023-07-14,19413.78,NEUTRAL,50.0,41.456310679611654,-6.06,NEUTRAL_BEARS,12
2023-08-13,19075.19,NEUTRAL,50.0,59.150326797385624,-9.81,NEUTRAL_BEARS,12
2023-09-12,18025.89,NEUTRAL,50.0,58.62236628849271,-10.12,BEARISH,12
2023-10-12,18238.21,NEUTRAL,50.0,55.375,-11.74,BEARISH,15
2023-11-11,17203.26,NEUTRAL,50.0,52.09827357237715,-8.47,NEUTRAL_BEARS,14
2023-12-11,16201.49,NEUTRAL,50.0,57.61904761904762,0.94,NEUTRAL,14
2024-01-10,16097.28,NEUTRAL,50.0,54.47570332480818,4.54,NEUTRAL,15
2024-02-09,15746.58,BEARISH,54.5,62.26415094339623,17.73,BULLISH,15
2024-03-10,16353.39,NEUTRAL,50.0,48.661417322834644,12.31,BULLISH,12
2024-04-09,16828.07,NEUTRAL,50.0,46.70487106017192,4.14,NEUTRAL,13
2024-05-09,18537.81,NEUTRAL,50.0,53.84615384615385,-8.95,NEUTRAL_BEARS,13
2024-06-08,18366.95,BULLISH,53.1,38.46153846153846,-5.02,NEUTRAL_BEARS,13
2024-07-08,17524.06,NEUTRAL,50.0,49.201277955271564,29.75,BULLISH,12
2024-08-07,16877.86,NEUTRAL,50.0,41.73806609547123,24.46,BULLISH,15
