Date,Price,Pred,Conf,Risk,Actual,Outcome
2020-01-01,28189.75,NEUTRAL,50.0,52.95055821371611,-16.27,BEARISH
2020-01-31,26312.63,NEUTRAL,50.0,46.51162790697675,-6.34,NEUTRAL_BEARS
2020-03-01,26129.93,NEUTRAL,50.0,47.924187725631775,-12.13,BEARISH
2020-03-31,23603.48,NEUTRAL,50.0,54.725972994440035,2.96,NEUTRAL
2020-04-30,24643.59,BEARISH,79.9,64.96350364963503,0.97,NEUTRAL
2020-05-30,22961.47,BEARISH,73.9,62.55086661642803,10.72,BULLISH
2020-06-29,24301.28,BULLISH,59.1,43.37827121332276,-4.39,NEUTRAL
2020-07-29,24883.14,BULLISH,64.3,41.273996509598604,-0.39,NEUTRAL
2020-08-28,25422.06,BULLISH,74.6,37.15937241948803,5.50,NEUTRAL_BULLS
2020-09-27,23235.42,NEUTRAL,50.0,54.325842696629216,13.56,BULLISH
2020-10-27,24787.19,BULLISH,88.3,31.690140845070417,21.67,BULLISH
2020-11-26,26819.45,BULLISH,83.3,33.67875647668393,10.81,BULLISH
2020-12-26,26386.56,NEUTRAL,50.0,45.2020202020202,7.39,NEUTRAL_BULLS
2021-01-25,30159.01,BULLISH,72.9,37.851985559566785,-3.58,NEUTRAL
2021-02-24,29718.24,BULLISH,75.8,36.69661368348307,-2.72,NEUTRAL
2021-03-26,28336.43,BULLISH,69.7,39.12732474964235,1.93,NEUTRAL
2021-04-25,29078.75,BEARISH,61.3,57.52212389380531,-6.04,NEUTRAL_BEARS
2021-05-25,28910.86,BULLISH,73.9,37.42451967063129,-13.15,BEARISH
2021-06-24,28882.46,NEUTRAL,50.0,46.391752577319586,-16.14,BEARISH
2021-07-24,27321.98,NEUTRAL,50.0,48.37837837837838,-4.37,NEUTRAL
2021-08-23,25109.59,NEUTRAL,50.0,50.66115702479339,-0.24,NEUTRAL
2021-09-22,24221.54,NEUTRAL,50.0,51.39672429481347,-5.16,NEUTRAL_BEARS
2021-10-22,26126.93,BULLISH,64.2,41.30808950086058,-4.50,NEUTRAL
2021-11-21,25049.97,BEARISH,61.9,57.75741710296684,-2.88,NEUTRAL
2021-12-21,22971.33,NEUTRAL,50.0,51.890951276102086,-7.62,NEUTRAL_BEARS
2022-01-20,24952.35,NEUTRAL,50.0,54.89260143198091,-16.06,BEARISH
2022-02-19,24327.71,NEUTRAL,50.0,51.050788091068306,-14.84,BEARISH
2022-03-21,21221.34,BEARISH,76.4,63.56902356902357,-0.69,NEUTRAL
2022-04-20,20944.67,BEARISH,69.0,60.59113300492611,-1.35,NEUTRAL
2022-05-20,20717.24,NEUTRAL,50.0,50.35026269702277,-4.60,NEUTRAL
2022-06-19,21075.00,BULLISH,60.7,42.73504273504273,-10.98,BEARISH
2022-07-19,20661.06,NEUTRAL,50.0,51.93444136657433,-19.59,BEARISH
2022-08-18,19763.91,BEARISH,58.5,56.38513513513514,-7.63,NEUTRAL_BEARS
2022-09-17,18761.69,NEUTRAL,50.0,51.109064112011794,3.67,NEUTRAL
2022-10-17,16612.90,BEARISH,64.6,58.844856661045526,30.85,BULLISH
2022-11-16,18256.48,NEUTRAL,50.0,49.99999999999999,15.65,BULLISH
2022-12-16,19450.67,BULLISH,65.9,40.625,-1.27,NEUTRAL
2023-01-15,21738.66,NEUTRAL,50.0,51.65945165945166,-5.98,NEUTRAL_BEARS
2023-02-14,21113.76,NEUTRAL,50.0,47.03337453646477,-5.41,NEUTRAL_BEARS
2023-03-16,19203.91,BULLISH,65.4,40.84291187739464,1.06,NEUTRAL
2023-04-15,20438.81,BULLISH,74.7,37.11583924349882,-5.02,NEUTRAL_BEARS
2023-05-15,19971.13,NEUTRAL,50.0,48.49823321554771,-4.49,NEUTRAL
2023-06-14,19408.42,BULLISH,70.7,38.70967741935484,-7.12,NEUTRAL_BEARS
2023-07-14,19413.78,BULLISH,75.3,36.89639222941721,-6.06,NEUTRAL_BEARS
2023-08-13,19075.19,BEARISH,55.2,55.09822263797942,-9.81,NEUTRAL_BEARS
2023-09-12,18025.89,BEARISH,68.5,60.41241890639481,-10.12,BEARISH
2023-10-12,18238.21,BEARISH,62.8,58.13868613138686,-11.74,BEARISH
2023-11-11,17203.26,NEUTRAL,50.0,54.123750960799384,-8.47,NEUTRAL_BEARS
2023-12-11,16201.49,BEARISH,66.1,59.42429737080689,0.94,NEUTRAL
2024-01-10,16097.28,NEUTRAL,50.0,54.10476935105551,4.54,NEUTRAL
2024-02-09,15746.58,BEARISH,58.3,56.321839080459775,17.73,BULLISH
2024-03-10,16353.39,NEUTRAL,50.0,47.21739130434783,12.31,BULLISH
2024-04-09,16828.07,NEUTRAL,50.0,46.12310151878497,4.14,NEUTRAL
2024-05-09,18537.81,NEUTRAL,50.0,49.299474605954465,-8.95,NEUTRAL_BEARS
2024-06-08,18366.95,BULLISH,55.0,45.0,-5.02,NEUTRAL_BEARS
2024-07-08,17524.06,NEUTRAL,50.0,47.791519434628974,29.75,BULLISH
2024-08-07,16877.86,BULLISH,60.6,42.77456647398844,24.46,BULLISH
2024-09-06,17444.30,NEUTRAL,50.0,49.10233393177738,12.13,BULLISH
2024-10-06,22736.87,BULLISH,67.2,40.13377926421405,-13.09,BEARISH
2024-11-05,21006.97,BULLISH,62.2,42.10919970082274,-3.76,NEUTRAL
2024-12-05,19560.44,NEUTRAL,50.0,53.26192794547225,20.62,BULLISH
2025-01-04,19760.27,BEARISH,59.7,56.86274509803921,15.64,BULLISH
2025-02-03,20217.26,BULLISH,71.6,38.374233128834355,11.31,BULLISH
2025-03-05,23594.21,BULLISH,73.4,37.625418060200666,-0.35,NEUTRAL
2025-04-04,22849.81,BULLISH,80.3,34.865629420084865,5.34,NEUTRAL_BULLS
2025-05-04,22504.68,NEUTRAL,50.0,53.5279805352798,8.90,NEUTRAL_BULLS
2025-06-03,23512.49,BULLISH,68.3,39.69522240527183,8.95,NEUTRAL_BULLS
2025-07-03,24069.94,BULLISH,60.5,42.80094413847364,11.57,BULLISH
2025-08-02,24507.81,BULLISH,57.9,43.83043149129447,5.71,NEUTRAL_BULLS
2025-09-01,25617.42,BULLISH,55.8,44.667201283079386,0.94,NEUTRAL
2025-10-01,26855.56,BULLISH,68.2,39.72881355932204,-3.73,NEUTRAL
2025-10-31,25906.65,BULLISH,80.1,34.94917904612979,7.96,NEUTRAL_BULLS
2025-11-30,25858.89,BULLISH,70.7,38.70967741935484,2.14,NEUTRAL
2025-12-30,25854.60,BULLISH,57.7,43.920595533498755,2.16,NEUTRAL
2026-01-29,27968.09,NEUTRAL,50.0,48.75690607734806,-5.56,NEUTRAL_BEARS
